car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
2001,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,97.2,172.7,64.6,50.0,2392,ohc,four,110,spdi,3.18,3.49,7.53,118,5454,23,30,10201.0
2002,1,plymouth fury iii,gas,std,four,hatchback,fwd,front,93.3,157.0,63.5,49.8,1993,ohc,four,90,2bbl,2.95,3.28,9.33,69,5563,31,38,6433.0
2003,1,toyota corona,gas,std,two,hatchback,fwd,front,94.4,157.6,63.0,53.6,2083,ohc,four,93,2bbl,3.08,3.01,8.98,63,4768,31,38,6168.0
2004,-1,volvo 244dl,gas,std,four,sedan,rwd,front,108.5,188.9,69.1,55.8,3023,ohcv,six,171,mpfi,3.6,2.83,8.93,137,5443,18,23,22629.0
2005,-1,toyota celica gt,diesel,turbo,four,sedan,fwd,front,101.9,175.5,66.0,54.0,2459,ohc,four,111,idi,3.3,3.36,22.34,74,4428,30,32,10829.0
2006,3,mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,95.2,173.2,66.1,50.2,2825,ohc,four,158,spdi,3.53,3.81,6.96,148,5034,19,24,13002.0
2007,2,toyota cressida,gas,std,two,convertible,rwd,front,98.4,177.1,65.4,53.3,2964,ohc,four,144,mpfi,3.65,3.47,9.09,118,4825,24,30,18375.0
2008,2,nissan clipper,gas,std,two,hardtop,fwd,front,95.4,161.9,63.6,53.7,2021,ohc,four,97,2bbl,3.16,3.26,9.43,70,5213,31,38,8348.0
2009,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,97.3,173.8,63.4,48.9,2377,ohc,four,110,spdi,3.14,3.39,7.55,118,5406,23,30,10566.0
2010,0,bmw x4,gas,std,four,sedan,rwd,front,102.1,187.7,66.7,54.6,3236,ohc,six,206,mpfi,3.65,3.33,7.97,186,5471,16,22,33486.0
2011,2,audi 100 ls,gas,std,four,sedan,fwd,front,99.6,176.5,66.8,55.0,2345,ohc,four,110,mpfi,3.14,3.42,10.09,104,5483,24,29,14301.0
